20111106.000000,491.000000,334.000000,2473.794937,2758.000000,1.350000,1423.000000,77.000000,0.000000
20111107.000000,413.000000,312.000000,2518.353052,2258.000000,1.150000,1388.000000,52.000000,0.000000
20111108.000000,381.000000,316.000000,2464.790467,2472.000000,1.260000,1371.000000,69.000000,0.000000
20111109.000000,307.000000,238.000000,2621.087785,2683.000000,1.370000,1329.000000,108.000000,3.000000
20111110.000000,390.000000,334.000000,2415.461679,2874.000000,1.470000,1381.000000,59.000000,0.000000
20111111.000000,440.000000,356.000000,2520.769985,2454.000000,1.250000,1371.000000,69.000000,0.000000
20111112.000000,486.000000,400.000000,2645.194086,2723.000000,1.390000,1332.000000,108.000000,0.000000
20111113.000000,523.000000,396.000000,2514.768522,2645.000000,1.350000,1368.000000,72.000000,0.000000
20111114.000000,516.000000,450.000000,2438.173927,2378.000000,1.210000,1387.000000,53.000000,0.000000
20111115.000000,426.000000,335.000000,2548.491897,2405.000000,1.230000,1373.000000,67.000000,0.000000
20111116.000000,483.000000,395.000000,2323.597391,2510.000000,1.280000,1361.000000,79.000000,0.000000
20111117.000000,396.000000,351.000000,2471.538773,2514.000000,1.280000,1391.000000,49.000000,0.000000
20111119.000000,482.000000,410.000000,2497.405410,2676.000000,1.370000,1349.000000,90.000000,1.000000
20111120.000000,488.000000,413.000000,2472.256100,2653.000000,1.360000,1420.000000,20.000000,0.000000
20111122.000000,516.000000,378.000000,2566.748109,2600.000000,1.330000,1352.000000,88.000000,0.000000
20111123.000000,264.000000,215.000000,2523.743534,2545.000000,1.300000,1366.000000,74.000000,0.000000
20111124.000000,573.000000,391.000000,2452.475101,2307.000000,1.180000,1412.000000,28.000000,0.000000
20111125.000000,512.000000,370.000000,2526.072218,2859.000000,1.470000,1321.000000,119.000000,0.000000
20111126.000000,399.000000,342.000000,2470.025847,2540.000000,1.300000,1391.000000,49.000000,0.000000
20111127.000000,329.000000,272.000000,2518.263642,2667.000000,1.370000,1366.000000,74.000000,0.000000
20111128.000000,450.000000,382.000000,2463.504803,2396.000000,1.230000,1384.000000,56.000000,0.000000
20111129.000000,440.000000,306.000000,2643.193907,2433.000000,1.250000,1382.000000,58.000000,0.000000
20111130.000000,329.000000,271.000000,2615.038264,2585.000000,1.330000,1351.000000,85.000000,4.000000
